Date,Close,High,Low,Open,Volume,Gunluk_Getiri,SMA_20,SMA_50,RSI_14,Hacim_Degisim,Volatilite_20
2021-09-14,12.15243911743164,12.250127910721242,12.113363786441676,12.191514448421605,65375501,0.0008044759113932098,12.29164524078369,12.542216033935548,40.79598196332439,0.6814165785606845,0.01552620558544225
2021-09-15,11.976600646972656,12.13290197162656,11.88868091894749,12.11336384023013,50022705,-0.014469397357997016,12.282853317260741,12.520138454437255,43.61703232506816,-0.23484020413090223,0.015570974924956491
2021-09-16,12.181745529174805,12.181745529174805,11.986368886818735,12.015675150264816,71541980,0.017128807100535992,12.296041250228882,12.502554531097411,41.1110845958514,0.4301901506525887,0.015400260244568299
2021-09-17,12.4259672164917,12.504117877531383,12.220821498355184,12.240358697800422,126749273,0.020048168526586974,12.32192873954773,12.482430725097656,51.03091720003563,0.7716768951600166,0.01595267698702574
2021-09-20,12.513887405395508,12.611575269489519,12.259897281818157,12.308741679679864,118328969,0.007075520751987918,12.348793077468873,12.464260711669922,53.20197826105775,-0.066432759736618,0.015970805981988086
2021-09-21,12.748339653015137,12.797184051857071,12.513887656529153,12.601806456489333,134319994,0.018735364960894785,12.376145887374879,12.44335542678833,53.65857259189767,0.13514040674181826,0.015969463970317795
2021-09-22,12.885102272033691,12.885102272033691,12.679956551431927,12.797183476029545,93716506,0.010727876942485448,12.394706630706787,12.429874420166016,56.62101657561017,-0.3022892332767674,0.015151922863319673
2021-09-23,13.021865844726562,13.06094117406081,12.78741386872108,12.894870791482925,92839027,0.010614085150857377,12.435247325897217,12.419714813232423,59.740252056341404,-0.009363121156053311,0.013990609763944789
2021-09-24,13.305163383483887,13.314932449582495,12.963254454697383,12.98279165526518,71721378,0.021755525831349987,12.475788068771362,12.418933334350585,63.24112807163834,-0.22746521244777806,0.013885876985795267
2021-09-27,13.217242240905762,13.45169514409725,13.129322518662619,13.373543555280541,89362029,-0.006608046819422286,12.51730556488037,12.418151817321778,68.9655172413793,0.2459608486607716,0.013803362146480274
2021-09-28,13.461463928222656,13.568921785771595,13.207474745900996,13.2172428797996,109992789,0.01847750709758933,12.571034145355224,12.42870216369629,79.05978092177065,0.23086718409225027,0.01418123465920971
2021-09-29,13.461463928222656,13.549383654715655,13.334468871247143,13.510308324233142,86075020,0.0,12.614017057418824,12.441987781524658,76.99526363503864,-0.21744851837514545,0.013865751082917084
2021-09-30,13.627534866333008,13.764298994362765,13.461464472164518,13.510308870148675,76409871,0.0123367665653491,12.66530351638794,12.458985576629638,87.01920797887944,-0.11228750222770789,0.013980639833938458
2021-10-01,13.72522258758545,13.793604180431194,13.520076877418887,13.598227535422405,97542462,0.007168407361318074,12.722451210021973,12.477937126159668,87.49996610276737,0.2765688611095809,0.013933883267287428
2021-10-04,13.549383163452148,13.852217662433711,13.549383163452148,13.78383513784665,74809181,-0.01281140783045287,12.767387866973877,12.500210075378417,80.68666129245807,-0.23306035683208404,0.014453588644006712
2021-10-05,13.7154541015625,13.764298497784484,13.48100211765222,13.510308382733664,84235163,0.01225671575650078,12.835281372070312,12.534010257720947,88.36200475832602,0.12600033677684563,0.013117825446485105
2021-10-06,13.393082618713379,13.734992466456807,13.29539382460686,13.695917135140078,67415705,-0.023504251515259367,12.898290395736694,12.556673965454102,75.40981048553104,-0.19967264739548263,0.013662150575997147
